 \.\.\. and ([,0-9]+) more.	 ... その他$1件
Max integer digits:	最長整数部長:
Max length:	最長:
Maximize permutations in multi-byte encodings	マルチバイト文字の組み合わせ最大化
Maximum analysis time per item \\(seconds\\):	アイテムあたりの最大解析時間(秒):
Maximum capture length:	抽出する最大長:
Maximum Entropy Bits	最大エントロピービット
Maximum insertion points per base request:	ベースリクエストごとの最大挿入ポイント数:
Maximum length:	最大長:
Maximum link depth:	リンクの最大の深さ:
Maximum parameterized requests per URL:	URLごとのパラメター付きリクエストの最大数:
Maximum payloads per item:	アイテムごとのペイロード数:
May	5月
Message editor help	メッセージエディタヘルプ
Message Editor	メッセージエディタ
Message	メッセージ
Meta refresh tag	Meta refreshタグ
Method(:?)	メソッド$1
Min fraction digits:	最短少数部長:
Min integer digits:	最短整数部長:
Min length:	最短:
Minimize false negatives	検知漏れを最小化
Minimize false positives	過剰検知を最小化
Minutes	分
minutes	分後
Misc	その他
Miscellaneous	その他
Mixed content(\\s+\\[[0-9]+\\])?	混合コンテンツ$1
Modified value:	操作値:
Modify case	大文字小文字変換
Monitor the following tools' traffic to update the cookie jar:	次のツールを監視してcookie jarを更新する:
Months	月
Move down	下に移動
Move the selected certificate down	選択した証明書を下に移動
Move the selected certificate up	選択した証明書を上に移動
Move the selected header down	選択したヘッダを下に移動
Move the selected header up	選択したヘッダを上に移動
Move the selected item down	選択したアイテムを下に移動
Move the selected item up	選択したアイテムを上に移動
Move the selected macro down	選択したマクロを下に移動
Move the selected macro up	選択したマクロを上に移動
Move the selected parameter down	選択したパラメータを下に移動
Move the selected parameter up	選択したパラメータを上に移動
Move the selected rule down	選択したルールを下に移動
Move the selected rule up	選択したルールを上に移動
Move to the next match	次の一致箇所に移動
Move to the previous match	前の一致箇所に移動
Move up	上に移動
MSSQL-specific checks	MSSQL固有チェック
Multipart form	マルチパートフォーム
Multiple content types specified(\\s+\\[[0-9]+\\])?	複数のコンテントタイプ指定$1
MySQL-specific checks	MySQL固有チェック
Name or value:	名前または値:
Name(:?)	名前$1
Names observed in use on target site	対象サイトで使用されている名前
Negative match	一致しないものを検索
Negative search	一致しないものを検索
Nested insertion points are used when an insertion point's base value contains data in a recognized format \\(for example, XML data within a URL parameter\\):	挿入ポイントの元値が認識可能な形式(例えば、URLパラメータ内のXMLデータなど)の場合、ネストした挿入ポイントが使用されます:
Never	行わない
New project file	新規プロジェクトファイル
New project on disk	新規ディスクプロジェクト
New tab behavior	新規タブの動作
Next	次へ
No actions defined	アクションが定義されていません
No anomalies were identified in this test.	このテストで異常は見つかっていません。
No certificate is selected	証明書が選択されていません
No change	変更なし
No generators defined	ジェネレータが定義されていません。
No library is selected	ライブラリが選択されていません
No macro selected	マクロが選択されていません
No processors defined	処理が定義されていません
no protocol: (.*)	プロトコルがありません: $1
No proxy listeners are currently running - go to the Options tab to enable a listener	プロキシリスナーが起動していません - オプションタブでリスナーを有効化してください。
No summary chart	サマリグラフなし
No summary table	サマリテーブルなし
No	いいえ
None	なし
Normal(:?)	標準$1
Not a valid PKCS#11 library	有効なPKCS#11ライブラリではありません
Not available in demo version	デモバージョンでは無効です
Not available in free edition	フリー版では無効です
Note that statistical tests provide only an indicative guide to the randomness of the sampled data. Results obtained may contain false positives and negatives, and may not correspond to the practical predictability of the tokens sampled.	統計的テストは、サンプルデータの乱数性を示す指針のみを提供していることに注意してください。得られた結果には偽陽性と偽陰性が含まれ、サンプリングされたトークンの実用的な予測に対応していない場合があります。
Note that the request currently being processed by this session handling rule will still be issued, so the macro should not include this request unless it is necessary to issue it twice.	このセッションハンドリングルールに現在処理されているリクエストは発行されるままなので、２つ発行する必要がなければ、マクロにこのリクエストを含めるべきではありません。
Note: Character-level analysis was not performed because the sample size is too small relative to the size of the character set used in the sampled tokens.	注: サンプルのトークンで使われている文字セットのサイズに比べてサンプルサイズが非常に小さいため、文字レベルの解析は実行されていません。
Note: Disk-based projects are not supported on 32-bit operating systems.	注: ディスクベースプロジェクトは32ビットOSではサポートされていません。
Note: Disk-based projects are only supported on Burp Suite Professional.	注: ディスクベースプロジェクトはBurp Suiteプロフェッショナル版でのみサポートされています。
Note: It is not recommended to restore configuration from a state file that originated from an untrusted source.	注: 信頼できない提供元から受け取ったステートファイルから、設定のリストアは推奨しません。
NOTE: license activations are monitored. If you perform too many activations, further activations for this license may be prevented.	注: ライセンスのアクティベートは監視されています。あまりにも多くのアクティベートが実行されると、このライセンスのさらなるアクティベートを停止することがあります。
Note: Some of the selected items do not yet have responses. If you choose to remove items with media responses, some of these items may be removed from the scan when their responses have been analyzed.	注: 選択したアイテムの一部はまだレスポンスがありません。メディアレスポンスのアイテムを除外するよう選択した場合、レスポンスの解析が完了したときこれらのアイテムはスキャンから除外されます。
Note: Some of these options are not available in the Free Edition of Burp.	注: 一部のオプションはBurpフリー版では無効です。
Note: these settings can be overridden for individual projects within project options.	注: これらの設定は個々のプロジェクトのプロジェクトオプションで上書きできます。
Note: This analysis is based on the current contents of the site map, and no new requests have been made. Only parameters within the query string and request body are included in the analysis. URLs identified as "static" are those which do not take any parameters, though their responses may still be dynamically generated.	注: この分析はサイトマップの現在の内容に基づいており、新規リクエストは生成していません。クエリストリングとリクエストボディ内のパラメータのみが解析に含まれます。"静的"と識別されたURLはパラメータを持っていませんが、レスポンスが動的に生成された可能性があります。
Note: You have selected to remove items with media responses. Some of the above items do not yet have responses and so may be removed from the scan when their responses have been analyzed.	注: メディアレスポンスのアイテムを除去するように選択されました。上記の一部のアイテムはまだレスポンスがなく、レスポンスの解析が完了したときこれらのアイテムはスキャンから除外されます。
NOTE: You should ensure that all valuable data is saved elsewhere before using this function. Using this function will cause Burp to exit.	注: この機能を使用する前に、重要なデータが別の場所に保存されているか確認してください。この機能を使用するとBurpが終了します。
Note: you should not delete these files if another instance of Burp is currently running.	注: 他のBurpインスタンスが現在起動している場合はこれらのファイルを削除しないでください。
Note: you should not disclose the private key for your CA certificate to any untrusted party.	注: 信頼できない相手にCA証明書の秘密鍵を開示すべきではありません。 
November	11月
Null payloads	ペイロードなし
Number format	数値フォーマット
number of ([0-9]+)-bit runs is too large at bit ([0-9]+) \\(count: ([0-9]+), probability in a random sample: ([0-9.]+)%\\)	ビット$2に$1ビット連の数が大きすぎます (回数: $3, ランダムサンプル中の確率: $4%)
number of ([0-9]+)-bit runs is too large at bit ([0-9]+) \\(count: ([0-9]+), probability in a random sample: less than 0.0001%\\)	ビット$2に$1ビット連の数が大きすぎます (回数: $3, ランダムサンプル中の確率: 0.0001%未満)
number of ([0-9]+)-bit runs is too small at bit ([0-9]+) \\(count: ([0-9]+), probability in a random sample: ([0-9.]+)%\\)	ビット$2に$1ビット連の数が小さすぎます (回数: $3, ランダムサンプル中の確率: $4%)
number of ([0-9]+)-bit runs is too small at bit ([0-9]+) \\(count: ([0-9]+), probability in a random sample: less than 0.0001%\\)	ビット$2に$1ビット連の数が小さすぎます (回数: $3, ランダムサンプル中の確率: 0.0001%未満)
Number of discovery threads:	探索スレッド数:
Number of dynamic URLs:	動的URL数:
Number of retries on network failure:	ネットワークエラー時のリトライ回数:
Number of spider threads:	自動巡回スレッド数:
Number of static URLs:	静的URL数:
Number of threads:	スレッド数:
Number of unique parameter names:	一意な名前のパラメータ数:
Number of URLs	URL数
Number range	数値範囲
Number to generate:	生成数:
Numbers	数値
October	10月
On:	日付:
One bit failed the test \\(bit ([0-9]+)\\). All other bits passed the test. 	1ビットが不合格(bit $1)。その他は合格。
Online activation	オンラインアクティベーション
On-site only	同じサイトのみ
Open (the )?cookie jar	cookie jarを開く
Open (the )?sessions tracer	セッショントレーサを開く
Open config file	設定ファイルを開く
Open existing project	既存のプロジェクトを開く
Open in browser	ブラウザで開く
Open project file	プロジェクトファイルを開く
Open redirection \\(DOM-based\\)(\\s+\\[[0-9]+\\])?	オープンリダイレクト(DOMベース)$1
Open redirection \\(reflected DOM-based\\)(\\s+\\[[0-9]+\\])?	オープンリダイレクト (反射型DOMベース)$1
Open redirection \\(stored DOM-based\\)(\\s+\\[[0-9]+\\])?	オープンリダイレクト (蓄積型DOMベース)$1
Open redirection(\\s+\\[[0-9]+\\])?	オープンリダイレクト$1
Open saved attack	保存した攻撃を開く
Open-ended responses:	開始からレスポンスが終了するまで:
Operate on:	処理対象:
Operator	動作
Options	オプション
Oracle-specific checks	Oracle固有チェック
Original message	元メッセージ
Original request	元リクエスト
Original response	元レスポンス
OS command injection(\\s+\\[[0-9]+\\])?	OSコマンドインジェクション$1
Other binary	その他バイナリ
Other text	その他テキスト
Out-of-band resource load \\(HTTP\\)(\\s+\\[[0-9]+\\])?	帯域外リソース読み込み (HTTP)$1
Out-of-Scope Requests	スコープ外リクエスト
Output to system console	システムコンソールに出力する
Output	出力
Overall result	全体の結果
Overlong UTF-8 encodings	冗長なUTF-8エンコード
Override user options	ユーザオプションを上書きする
Pad short tokens at:	短いトークンをパディング:
Pad with \\(single character or 2-digit ASCII hex code\\):	パディング文字(1文字または2桁のASCII16進数コード):
Page title	ページタイトル
Param name	パラメータ名
Param value	パラメータ値
Parameter handling	パラメータ処理
Parameter name must be specified	パラメータ名を指定する必要があります
Parameter name(:?)	パラメータ名$1
Parameter Scope	パラメータスコープ
Parameters?(:?)	パラメータ$1
Params	パラメータ
Pass back to the invoking tool:	起動しているツールに渡す:
Passive Scanning Areas	パッシブスキャン対象
Passive spidering monitors traffic through Burp Proxy to update the site map without making any new requests.	パッシブスパイダリングはBurp Proxyを経由するトラフィックを監視し、新たなリクエストを生成せずサイトマップを更新します。
Passive Spidering	パッシブスパイダリング
Passively scan selected items	選択したアイテムをパッシブスキャン
Passively scan this branch	このブランチをパッシブスキャン
Passively scan this host	このホストをパッシブスキャン
Passively spider as you browse	ブラウザからのアクセスをパッシブスパイダリングする
Password field with autocomplete enabled(\\s+\\[[0-9]+\\])?	オートコンプリートが有効なパスワードフィールド$1
Password is required	パスワードが必要です
Password returned in later response(\\s+\\[[0-9]+\\])?	後のレスポンスで返されるパスワード$1
Password returned in URL query string(\\s+\\[[0-9]+\\])?	URLクエリーストリング内に返されるパスワード$1
Password submitted using GET method(\\s+\\[[0-9]+\\])?	GETメソッドを使用したパスワード送信$1
Password value set in cookie(\\s+\\[[0-9]+\\])?	cookieにセットされたパスワード値$1
Password(:?)	パスワード$1
Passwords \\+ digit	パスワード+数値
Passwords within configuration options:	設定内のパスワード:
Passwords	パスワード
Paste data from the clipboard	クリップボードからデータを貼り付け
Paste from file	ファイルから貼り付け
Paste one or more items from the clipboard	一つまたは複数のアイテムをクリップボードから貼り付け
Paste response	レスポンスを貼り付け
Paste URL as request	URLをリクエストとして貼り付け
Paste URL	URL貼り付け
Paste	貼り付け
Path(:?)	パス$1
Path-relative style sheet import(\\s+\\[[0-9]+\\])?	相対パスのスタイルシート読み込み$1
Pause [Ss]canner	Scanner一時停止
Pause active scanning	アクティブスキャンを停止
Pause before retry \\(milliseconds\\):	リトライ前の一時停止(ミリ秒):
Pause Spider and Scanner	SpiderとScannerを中断
Pause spidering	自動巡回停止
Paused?	一時停止
Payload [sS]et:	ペイロードセット:
Payload count:	ペイロード数:
Payload Encoding	ペイロードのエンコーディング
Payload Options \\[Bit flipper\\]	ペイロードオプション[ビットフリッパー]
Payload Options \\[Brute forcer\\]	ペイロードオプション[ブルートフォース]
Payload Options \\[Case modification\\]	ペイロードオプション[大文字小文字変換]
Payload Options \\[Character blocks\\]	ペイロードオプション[文字ブロック]
Payload Options \\[Character frobber\\]	ペイロードオプション[文字フロバー]
Payload Options \\[Character substitution\\]	ペイロードオプション[文字置換]
Payload Options \\[Copy other payload\\]	ペイロードオプション[他ペイロードコピー]
Payload Options \\[Custom iterator\\]	ペイロードオプション[カスタムイテレータ]
Payload Options \\[Dates\\]	ペイロードオプション[日付]
Payload Options \\[ECB block shuffler\\]	ペイロードオプション[ECBブロックシャッフル]
Payload Options \\[Extension-generated\\]	ペイロードオプション[拡張による生成]
Payload Options \\[Illegal Unicode\\]	ペイロードオプション[不正なUnicode]
Payload Options \\[Null payloads\\]	ペイロードオプション[ペイロードなし]
Payload Options \\[Numbers\\]	ペイロードオプション[数値]
Payload Options \\[Recursive grep\\]	ペイロードオプション[再帰検索]
Payload Options \\[Runtime file\\]	ペイロードオプション[実行時ファイル]
Payload Options \\[Simple list\\]	ペイロードオプション[単純リスト]
Payload Options \\[Username generator\\]	ペイロードオプション[ユーザ名生成]
Payload Options	ペイロードオプション
Payload Positions	ペイロードポジション
Payload Processing	ペイロード処理
Payload Sets	ペイロードセット
Payload type:	ペイロードタイプ:
payloads	個ペイロード生成する
Payloads?	ペイロード
Perform a byte-level comparison of the two selected items	選択した2アイテムをバイトレベルで比較する
Perform a word-level comparison of the two selected items	選択した2アイテムを単語レベルで比較する
Performance Feedback	パフォーマンスフィードバック
Per-host	ホストごと
Perl code injection(\\s+\\[[0-9]+\\])?	Perlコードインジェクション$1
PHP code injection(\\s+\\[[0-9]+\\])?	PHPコードインジェクション$1
PIN code is required	PINコードが必要です
PIN code:	PINコード:
Pitchfork	ピッチフォーク(Pitchfork)
Place attacks into the following locations within requests:	リクエスト内の次の場所に攻撃を配置します:
Plain JAR file	JAR ファイル
Plain text form	プレーンテキストフォーム
Platform Authentication	プラットフォーム認証
Please enter a config file	設定ファイルを入力してください
Please enter platform credentials for this request.	このリクエストのプラットフォームクレデンシャルを入力してください。
Please enter the details of the extension, and how you would like to handle standard output and error.	拡張の詳細と、標準出力とエラーの処理方法を入力してください。
Please enter the new project name.	新しいプロジェクト名を入力してください。
Please enter the URL you would like to scan from. Note that this task will perform active scanning on the specified URL and on all items beneath it in its branch of the site map.	スキャンを開始するURLを入力してください。ここで指定したURLの、すべてのサイトマップ上のブランチに対してアクティブスキャンが実行されることに注意してください。
Please enter the URL you would like to spider from.	自動巡回を開始するURLを入力してください。
Please enter your new license key.	新規ライセンスキーを入力してください。
Please log in to /users/ and download Burp manually.	/users/にログインし、Burpを手動でダウンロードしてください。
Please read the following licence agreement carefully, and indicate whether you accept its terms.	次の使用許諾契約書を読み、条項に同意するかどうかを指定してください。
Please select a directory	ディレクトリを選択してください
Please select a file	ファイルを選択してください
Please select a folder	フォルダを選択してください
Please select a project file	プロジェクトファイルを選択してください
Please select a rule type	ルールタイプを選択してください
Please select an empty directory	空のディレクトリを選択してください
Please select the application type	アプリケーションタイプを選択してください。
Please select the build that you want to download.	ダウンロードしたいビルドを選択してください。
Please select the file for the repaired project		修復するプロジェクトのファイルを選択してください。
Please select the file you would like to save to.	保存するファイルを選択してください。
Please select the folder for loading library JAR files	ライブラリのJARファイルを読み込むフォルダを選択してください
Please select the folder for loading modules	モジュールを読み込むフォルダを選択してください
Please select the JRuby JAR file	JRubyのJARファイルを選択してください
Please select the Jython standalone JAR file	JythonのスタンドアロンJARファイルを選択してください
Please supply a prefix	プレフィックスを指定してください
Please supply a regex	正規表現を指定してください
Please supply a suffix	サフィックスを指定してください
Please visit https://portswigger.net for more details about Burp Suite Professional which contains the full version. 	フルバージョンが入ったBurp Suiteプロフェッショナル版の詳細は、https://portswigger.net にアクセスしてください。
Please visit https://portswigger.net/burp/freedownload/ to download the latest version.	https://portswigger.net/burp/freedownload/ にアクセスして、最新バージョンをダウンロードしてください。
Please wait ...	しばらくお待ちください ...
Please wait	お待ちください
Poll Collaborator interactions	Collaborator通信のポーリング
Poll every	ポーリング間隔
Poll now	今すぐポーリング
Poll over unencrypted HTTP	暗号化されていないHTTPでポーリングする
Polling location \\(optional\\):	ポーリング場所(オプション):
Port(:?)	ポート$1
Position:	位置:
Positions?	ポジション
Predefined Payload Lists	定義済みペイロードリスト
Prefix:	プレフィックス:
Prepend preprocessed payload	プリプロセッサペイロードを先頭に追加
Preset parameters	プリセットパラメータ
Preset Payload Lists	定義済みペイロードリスト
Preset schemes:	定義済み形式:
Previous	前へ
Private IP addresses disclosed(\\s+\\[[0-9]+\\])?	プライベートIPアドレス漏洩$1
Private key disclosed(\\s+\\[[0-9]+\\])?	秘密鍵漏洩$1
Private key in DER format	DER形式の秘密鍵
Process cookies in redirections	リダイレクト中にcookieを処理する
Project file (.*) already exists, do you want to overwrite it\\?	プロジェクトファイル $1  は既に存在しています、上書きしてよろしいですか？
Project options	プロジェクトオプション
Prominently highlight unhidden fields	強制表示フィールドを強調表示する
Prompt for action	操作ごとに選択する
Prompt for credentials on platform authentication failure	プラットフォーム認証失敗時にクレデンシャルのプロンプトを表示する
Prompt for guidance	ガイダンスを表示する
Prompt for in-browser session recovery	ブラウザ内セッション復元のプロンプトを出す
Protocol(:?)	プロトコル$1
Proxy \\(use with caution\\)	Proxy(使用注意)
Proxy history help	Proxy履歴ヘルプ
Proxy history logging	Proxy履歴ロギング
Proxy History Logging	Proxy履歴ログ
Proxy host(:?)	プロキシホスト$1
Proxy host, leave blank to connect directly	プロキシホスト, 直接接続する場合は空白のまま
Proxy interception help	Proxyインターセプトヘルプ
Proxy Interception	プロキシインターセプト
Proxy Listeners	プロキシリスナー
Proxy port(:?)	プロキシポート$1
Purchase Burp Suite Professional	Burp Suiteプロフェッショナル版を購入する
Python code injection(\\s+\\[[0-9]+\\])?	Pythonコードインジェクション$1
Python Environment	Python環境
Queued Tasks	キューされたタスク
Random	ランダム
Rating(:?)	レーティング$1
Ready	準備完了
Re-analyze macro	マクロを再解析
Re-analyzing the macro may alter the parameter configuration of macro items. Are you sure you want to continue\\?	マクロの再解析をすると、マクロアイテムのパラメータ設定が変更されます。継続してよろしいですか？
Reattach (.*)	$1を再結合
Recognize automatically based on message headers	メッセージヘッダから自動的に認識する
Re-colorize the display based on the current payload markers	現在のペイロードマーカで表示を再色分け
Record a new macro	新規マクロを記録
Record macro	マクロを記録
Record the macro items	マクロアイテムを記録
Recurse subdirectories	サブディレクトリを再帰的に探索
Recursive grep	再帰検索
Redirect to host:	リダイレクト先ホスト:
Redirect to port:	リダイレクト先ポート:
Redirect	リダイレクト
Redirections	リダイレクト
Redo analysis	解析をやり直し
Re-enter license key	ライセンスキーの再入力
References to (https?://.*)	$1 への参照
References	参考資料
Referer-dependent response(\\s+\\[[0-9]+\\])?	Refererに依存したレスポンス$1
Refetch response	レスポンスを再取得
Reflected DOM issues	反射型DOMの問題
Reflected XSS	反射型XSS
Refresh header	Refreshヘッダ
Refresh list	リスト再読み込み
Refresh	リフレッシュ
Refreshing...	読み込み中...
Regenerate CA certificate	CA証明書再生成
Regenerate	再生成
Regex condition to match - leave blank to add a new header	検索条件 - 新規ヘッダ追加の場合は空白のまま
Regex match	正規表現
Regex	正規表現
Regular expression	正規表現
Reinstall	再インストール
Relationship	状態
Release notes	リリースノート
Release notes(:?)   	リリースノート$1   
Reliability	信頼性
Remediation background	対策のバックグラウンド
Remediation detail \\[where applicable\\]	対策方法の詳細 [該当する場合]
Remove <object> tags	<object>タグを除去する
Remove 100 Continue headers	100 Continueヘッダを削除する
Remove all items from the cookie jar	cookie jarからすべてのアイテムを削除する
Remove all items from the list	リストからすべてのアイテムを削除
Remove all JavaScript	すべてのJavaScriptを除去する
Remove Burp license key	Burpのライセンスキーを削除
Remove Burp program executable	Burp実行プログラムを削除
Remove cookie	cookie削除
Remove duplicate comments	重複したコメントを削除
Remove duplicate items \\(same URL and parameters\\)( \\[([,0-9]+) items\\])?	重複(URLとパラメータが同じ)アイテムを除外 [$2 アイテム]
Remove duplicates	重複を削除
Remove dupulicate comments	重複したコメントを除去
Remove from scope	スコープから削除
Remove input field length limits	入力フィールドの長さ制限を除去する
Remove item	アイテムを削除
Remove items already scanned \\(same URL and parameters\\)( \\[([,0-9]+) items\\])?	既にスキャンした(URLとパラメータが同じ)アイテムを除外 [$2 アイテム]
Remove items with media responses( \\[([,0-9]+) items\\])?	メディアレスポンスを除外 [$2 アイテム]
Remove items with no parameters( \\[([,0-9]+) items\\])?	パラメータのないアイテムを除外 [$2 アイテム]
Remove items with the following extensions( \\[([,0-9]+) items\\])?	次の拡張子を除外 [$2 アイテム]
Remove JavaScript form validation	JavaScriptによるフォームバリデーションを除去する
Remove out-of-scope items( \\[([,0-9]+) items\\])?	スコープ外のアイテムを除外 [$2 アイテム]
Remove saved preferences	保存した設定を削除
Remove secure flag from cookies	cookieのsecureフラグを除去する
Remove temporary files	一時ファイルを削除
Remove the selected certificate	選択した証明書を削除
Remove the selected cookie	選択したcookieを削除する
Remove the selected custom parameter location	カスタムパラメータ位置を削除
Remove the selected header	選択したヘッダを削除
Remove the selected items?	選択したアイテムを除去
Remove the selected listener	選択したリスナーを削除
Remove the selected macro	選択したマクロを削除
Remove the selected parameter	選択したパラメータを削除
Remove the selected rule	選択したルールを削除
Remove the selected task	選択したタスクを削除
Remove	削除
Rename [Pp]roject	プロジェクト名変更
Repairing project, please wait ...	プロジェクトを修復しています、しばらくお待ちください ...
Reparse	再解析
Repeat every:	指定間隔で繰り返し:
Repeat request in browser	ブラウザでリクエストを再送
Repeat the automatic parameter analysis on the current macro items	現在のマクロアイテムで自動パラメータ解析を繰り返す
Repeat	繰り返し
Replace base parameter value	元パラメータ値を置換
Replace current state	現在のステートを置き換える
Replace with encodings of:	エンコードして置換する文字:
Replace with:	置換:
Replace	変更値
Replace:	置換:
Report bug	バグ報告
Report completed	レポート完了
Report issues for selected branches	選択したブランチの問題をレポート
Report issues for this branch	このブランチの問題をレポート
Report issues for this host	このホストの問題をレポート
Report issues?	問題をレポート
Report selected issues	選択した問題をレポート
Report size: ([,0-9]+) bytes	レポートサイズ: $1バイト
Report title	レポートタイトル
Request ([0-9]+)	リクエスト$1
Request [Hh]eaders?	リクエストヘッダ
Request body	リクエストボディ
Request count:	リクエスト数:
Request Engine	リクエストエンジン
Request first line	リクエスト先頭行
Request handling	リクエストハンドリング
Request in browser	ブラウザでリクエスト
Request items? again	アイテムを再リクエスト
Request param name	リクエストパラメータ名
Request param value	リクエストパラメータ値
Request the root of all directories	すべてのディレクトリのルートにリクエストする
Request to ([a-z].*)	$1　へのリクエスト
Request to Collaborator	Collaboratorへのリクエスト
Request to:	リクエスト先:
Request	リクエスト
requesting item ([0-9]+)	アイテム$1をリクエスト中
Requests handled	処理したリクエスト
Requests made:	生成されたリクエスト:
Requests queued:	キューに入っているリクエスト:
requests	リクエストごとのみ検証する
Requests(:?)	リクエスト$1
Requires Burp Suite Professional	Burp Suiteプロフェッショナル版が必要です
Re-record macro	マクロを再記録
Re-recording the macro will delete the current macro items. Are you sure you want to continue\\?	マクロを再記録すると現在のマクロアイテムが削除されます。継続してよろしいですか？
Response ([0-9]+)	レスポンス$1
Response body	レスポンスボディ
Response completed	完了レスポンス数
Response from ([a-z].*)	$1　からのレスポンス
Response from Collaborator	Collaboratorからのレスポンス
Response headers?	レスポンスヘッダ
Response Modification	レスポンス操作
Response received	受信レスポンス数
Response to this request	このリクエストのレスポンス
Responses queued for analysis:	解析用にキューされたレスポンス:
Responses?	レスポンス
Restore completed	リストア完了
Restore defaults	デフォルトに戻す
Restore original value	オリジナルに戻す
Restore setting from when Burp was last closed	前回終了時の状態を復元
Restore state wizard	ステート復元ウィザード
Restore state	ステート復元
Restoring site map - please wait...	サイトマップを復元中 - しばらくお待ちください...
Restoring: ([0-9]+)% complete	リストア中: $1%完了
Restrict to requests containing these parameters:	これらのパラメータを含むリクエストに制限する:
Results Tab	結果タブ
Results table	結果テーブル
Results	結果
Resume active scanning	アクティブスキャンを再開
Resume scanner	スキャン再開
Resume spidering	自動巡回再開
Resume	再開
Retest macro	マクロを再テスト
Reverse substring	部分文字列の反転
Revert changes	変更を元に戻す
Revert to the original list of items	元のアイテムリストに戻す
Revert	元に戻す
Review the items you have selected for scanning. Double-click items to view full details. You can remove individual items which you do not wish to scan, or go back to modify your general filters.	スキャン用に選択したアイテムを確認してください。詳細を表示するにはアイテムをダブルクリックしてください。スキャンしたくない個々のアイテムを除外するか、戻って一般的なフィルタを変更できます。
Robots.txt file(\\s+\\[[0-9]+\\])?	robots.txt ファイル$1
Ruby code injection(\\s+\\[[0-9]+\\])?	Rubyコードインジェクション$1
Ruby Environment	Ruby環境
Rule ([0-9]+)	ルール$1
Rule Actions	ルールアクション
Rule Description	ルール詳細
Rule	ルール
Run a macro	マクロを実行する
Run a post-request macro	リクエスト後マクロを実行する
Run health check ...	ヘルスチェック実行 ...
Run macro:	マクロを実行:
Run the macro again	マクロを再実行する
Run the macro to test the handling of parameters	パラメータ処理のテストにマクロを実行する
Running \\(([,0-9]+) active threads?\\)	実行中 (アクティブなスレッド数 $1)
Running	起動中
Runtime file	実行時ファイル
Sample size: ([0-9]+).	サンプルサイズ: $1 
Sample	サンプル
Save active scanning areas options	アクティブスキャン対象オプションを保存する
Save active scanning engine options	アクティブスキャンエンジンオプションを保存する
Save active scanning optimizati onoptions	アクティブスキャン最適化オプションを保存する
Save application login options	アプリケーションログインオプションを保存する
Save attack config	攻撃設定を保存
Save attack insertion points options	攻撃挿入ポイントオプションを保存する
Save attack results options	攻撃結果オプションを保存する
Save Burp Collaborator server options	Burp Collaboratorサーバオプションを保存する
Save Burp Extender options	Burp Extenderオプションを保存する
Save cancelled	保存をキャンセルしました
Save character set options	文字セットオプションを保存する
Save client SSL certificates options	クライアントSSL証明書オプションを保存する
Save completed	保存完了
Save cookie jar options	cookie jar オプションを保存する
Save crawler options	クローラオプションを保存する
Save encrypted using master password(:?)	マスターパスワードで暗号化して保存$1
Save entire history	エントリー履歴を保存
Save extract grep options	抽出grepオプションを保存する
Save form submission options	フォーム送信オプションを保存する
Save header row	ヘッダ行を保存
Save hostname resolution options	ホスト名解決オプションを保存する
Save hotkey options	ホットキーオプションを保存する
Save HTML rendering options	HTMLレンダリングオプションを保存する
Save HTTP message display options	HTTPメッセージ表示オプションを保存する
Save in clear text	平文で保存
Save in-scope items only	スコープ内のアイテムのみ保存
Save intercept client requests options	クライアントリクエストのインターセプトオプションを保存する
Save intercept server responses options	サーバレスポンスのインターセプトオプションを保存する
Save intercept WebSockets messages options	WebSocketメッセージのインターセプトオプションを保存する
Save interface files	インタフェースファイルを保存
Save items?	アイテムを保存
Save Java environment options	Java環境オプションを保存する
Save Javadoc files	Javadocファイルを保存
Save live active scanning　options	ライブアクティブスキャンオプションを保存する
Save live capture options	ライブキャプチャオプションを保存する
Save live passive scanning　options	ライブパッシブスキャンオプションを保存する
Save logging options	ロギングオプションを保存する
Save macros options	マクロオプションを保存する
Save match and replace options	検索と置換オプションを保存する
Save match grep options	マッチgrep　オプションを保存する
Save miscellaneous proxy options	その他プロキシオプションを保存する
Save miscellaneous proxy settings options	その他プロキシ設定オプションを保存する
Save options	オプション保存
Save out-of-scope requests options	スコープ外リクエストオプションを保存する
Save passive scanning areas options	パッシブスキャン対象オプションを保存する
Save passive spidering options	パッシブスパイダリングオプションを保存する
Save paySaves grep options	ペイロードgrepオプションを保存する
Save performance feedback options	パフォーマンスフィードバックオプションを保存する
Save platform authentication options	プラットフォーム認証オプションを保存する
Save project options	プロジェクトオプション保存
Save proxy history logging options	プロキシ履歴ログオプションを保存する
Save proxy interception options	プロキシインターセプトオプションを保存する
Save proxy listeners options	プロキシリスナーオプションを保存する
Save Python environment options	Python環境オプションを保存する
Save redirections options	リダイレクトオプションを保存する
Save report	レポート保存
Save request engine options	リクエストエンジンオプションを保存する
Save request headers options	リクエストヘッダオプションを保存する
Save response modification options	レスポンス操作オプションを保存する
Save results table	結果テーブルの保存
Save Ruby environment options	Ruby環境オプションを保存する
Save scheduled tasks　options	スケジュールタスクオプションを保存する
Save selected items	選択したアイテムを保存
Save server SSL certificates options	サーバSSL証明書オプションを保存する
Save session handling rules options	セッションハンドリングルールオプションを保存する
Save SOCKS proxy options	SOCKSプロキシオプションを保存する
Save spider engine options	Spiderエンジンオプションを保存する
Save spider scope options	Spiderスコープオプションを保存する
