(.*)[Hh]iding ([2-5]xx) responses(.*)	$1 $2レスポンス非表示$3
These settings are used to specify URLs returning responses that stream indefinitely. The Proxy will pass these responses straight through to the client. Repeater will update the response panel as the response is received. Other tools will ignore streaming responses. In order to view the contents of streaming responses within Burp, you need to check the "store streaming responses" option.	無限にストリーミングレスポンスを返すURLを指定します。Proxyはこれらのレスポンスをクライアントに直接通過させます。Repeaterはレスポンスを受信したとしてパネルを更新します。その他のツールはストリーミングレスポンスを無視します。ストリーミングレスポンスのコンテンツをBurpで見るには、"ストリーミングレスポンスの保存"オプションをチェックする必要があります。
These settings can be used to enable certain SSL features that might be needed to successfully connect to some servers.	一部のサーバへ正常に接続するために必要となる、様々なSSL機能を有効にする設定です。
These settings can be used to extract useful information from responses into the attack results table.	レスポンスから抽出した有用な情報を攻撃結果テーブルに表示する設定です。
These settings can be used to flag result items containing reflections of the submitted payload.	送信したペイロードが反射してレスポンスに含まれる結果にフラグをセットする設定です。
These settings can be used to flag result items containing specified expressions.	指定した正規表現を含む結果にフラグをセットする設定です。
These settings control how Burp binds the proxy listener.	プロキシリスナーのバインド方法を制御します。
These settings control how Burp handles different character sets when displaying raw HTTP messages. Note that some glyphs are not supported by all fonts. If you need to use an extended or unusual character set, you should first try a system font such as Courier New or Dialog.	生HTTPメッセージを表示する際に異なる文字セットの扱い方を設定します。一部の字形はすべてのフォントでサポートされていないことに注意してください。拡張または異常な文字セットを使用する場合は、Courier NewやDialogなどのシステムフォントをまず試してみてください。
These settings control how Burp handles in-tool rendering of HTML content.	ツール内でのHTMLコンテンツのレンダリングの設定です。
These settings control how Burp handles redirections when performing attacks.	攻撃中のリダイレクトの処理を設定します。
These settings control how the Spider submits login forms.	ログインフォームの送信方法を制御します。
These settings control how tokens are handled during analysis.	解析中にトークンをどのようにハンドリングするか設定します。
These settings control logging of HTTP requests and responses.	HTTPリクエストとレスポンスのロギング設定です。
These settings control some specific details of Burp Proxy's behavior. You can change the default settings here to deal with particular problems or situations.	Burp Proxyの細かい挙動を制御します。特定の問題や状況に対処するためにデフォルトの設定を変更できます。
These settings control the engine used for making HTTP requests and harvesting tokens when performing the live capture.	ライブキャプチャ実行時にHTTPリクエストを生成してトークンを収集するエンジンを制御します。
These settings control the engine used for making HTTP requests when doing active scanning.	アクティブスキャン中のHTTPリクエスト作成に使われるエンジンを制御します。
These settings control the engine used for making HTTP requests when performing attacks.	攻撃実行中のHTTPリクエスト作成に使われるエンジンを制御します。
These settings control the engine used for making HTTP requests when spidering.	スパイダリング中のHTTPリクエスト作成に使われるエンジンを制御します。
These settings control the request headers used in HTTP requests made by the Spider.	Spiderが作るHTTPリクエストのリクエストヘッダを制御します。
These settings control the server SSL certificate that is presented to SSL clients.	SSLクライアントに提示されるサーバSSL証明書を制御します。
These settings control the SSL protocols and ciphers that Burp will use when performing SSL negotiation with upstream servers. If you are experiencing problems with SSL negotiation, you can use these settings to request use of specific protocols or ciphers. Use these options with caution as misconfiguration may break all your outgoing SSL connections.	Burpが上位サーバとSSLネゴシエーションをする際に使うSSLプロトコルと暗号を設定します。SSLネゴシエーションに問題が発生した場合は、特定のプロトコルや暗号の使用させるよう設定できます。設定をミスすると全ての外向きSSL接続が破られる可能性があるので、注意して使用してください。
These settings control the types of checks performed during active scanning.	アクティブスキャン中にチェックするタイプを設定します。
These settings control the types of checks performed during passive scanning.	パッシブスキャン中にチェックするタイプを設定します。
These settings control the types of redirections that Burp will understand in situations where it is configured to follow redirections.	リダイレクトをたどる状況として、Burpが認識するリダイレクトタイプを設定します。<
These settings control the types of scanning that will include static analysis of executable code. Note that static analysis can consume large amounts of memory and processing, and so it may be desirable to restrict static analysis to key targets of interest.	実行可能なコードの静的解析を含むスキャンタイプの設定です。静的解析は大量のメモリとプロセッサを使用するので、興味の対象に限定した実行が望ましいことに注意してください。
These settings control the way Burp handles HTTP responses with status 100.	100ステータスのHTTPレスポンスの処理方法を制御します。
These settings control the way the Spider crawls for basic web content.	Spiderの基本的なWebコンテンツの巡回方法を制御します。
These settings control what information is captured in attack results.	攻撃結果でキャプチャする情報を設定します。
These settings control whether and how the Spider submits HTML forms.	SpiderがHTMLフォームを送信するか、およびその方法を制御します。
These settings control whether Burp redirects requests received by this listener.	リスナーが受信したリクエストのリダイレクト方法を制御します。
These settings control whether Intruder updates the configured request headers during attacks.	攻撃中にIntruderがリクエストヘッダを更新するかどうかの設定です。
These settings determine whether Burp sends each outgoing request to a proxy server, or directly to the destination web server. The first rule that matches each destination host will be used. To send all traffic to a single proxy server, create a rule with \\* as the destination host.	外向きリクエストをプロキシサーバ経由で送信するか、直接Webサーバに送信するか設定します。各送信先ホストに一致する最初のルールが使用されます。すべてのトラフィックを特定のプロキシサーバーに送信するには、宛先ホストを * にしたルールを作成してください。
These settings let you configure Burp to automatically carry out platform authentication to destination web servers.	宛先WebサーバにBurpが自動的にプラットフォーム認証を行う設定をします。
These settings let you configure Burp to use a SOCKS proxy. This setting is applied at the TCP level, and all outbound requests will be sent via this proxy. If you have configured rules for upstream HTTP proxy servers, then requests to upstream proxies will be sent via the SOCKS proxy configured here.	SOCKSプロキシを使用する設定をします。この設定はTCPレベルで適用され、すべての外向きリクエストがこのプロキシ経由で送信されます。上位HTTPプロキシサーバの設定をしている場合、上位プロキシへのリクエストもここで設定したSOCKSプロキシ経由で送信されます。
These settings let you configure hotkeys for common actions. These include item-specific actions such as "Send to Repeater", global actions such as "Switch to Proxy", and in-editor actions such as "Cut" and "Undo".	一般的なアクションのためのホットキーを設定できます。"Repeaterへ送信"のようなアイテム固有アクション、"Proxyに切り替え"のようなグローバルアクション、"切り取り"や"アンドゥ"のようなエディタ内アクションのホットキーが設定できます。
These settings let you configure the client SSL certificates that Burp will use when a destination host requests one. Burp will use the first certificate in the list whose host configuration matches the name of the host being contacted. You can double-click on an item to view the full details of the certificate.	宛先ホストが要求した場合に使用するクライアントSSL証明書を設定します。接続しようとしているホストのホスト名に一致した、リスト内の最初の証明書を使用します。アイテムをダブルクリックすると証明書の詳細を表示できます。
These settings let you configure the environment for executing extensions that are written in Java. If your extensions use any libraries, you can specify a folder from which libraries will be loaded.	Javaで書かれた拡張を実行する環境を設定します。拡張が任意のライブラリを使用する場合は、ライブラリがロードされるフォルダを指定できます。
These settings let you configure the environment for executing extensions that are written in Python. To use Python extensions, you will need to download Jython, which is a Python interpreter implemented in Java.	Pythonで書かれた拡張を実行する環境を設定しますPythonの拡張を使用するには、Javaで実装されたPythonインタプリタのJythonをダウンロードする必要があります。
These settings let you configure the environment for executing extensions that are written in Ruby. To use Ruby extensions, you will need to download JRuby, which is a Ruby interpreter implemented in Java. Note that you can either configure the location of the JRuby JAR file here, or you can load the JAR file on startup via the Java classpath.	Rubyで書かれた拡張を実行する環境を設定します。Rubyの拡張を使用するには、Javaで実装されたRubyインタプリタのJRubyをダウンロードする必要があります。ここでJRubyのJARファイルの場所を設定するか、起動時にJavaクラスパスを経由してJARファイルをロードすることができることを覚えておいてください。
These settings let you configure where Burp stores its temporary files. Changes will take effect the next time Burp starts up.	一時ファイルの保管場所の設定です。次回Burp起動時から反映されます。
These settings let you control how HTTP messages are displayed within the raw HTTP viewer/editor.	生HTTPビューア/エディタでのHTTPメッセージの表示方法を制御します。
These settings let you control the appearance of Burp's user interface.	Burpのユーザインタフェースの外観を制御します。
These settings let you control the behavior of the active scanning logic to reflect the objectives of the scan and the nature of the target application. See the detailed help for more information about each option.	スキャンの目的と対象アプリケーションの性質に応じて、アクティブスキャンロジックの動作を制御できます。各オプションの詳細はヘルプを参照してください。
These settings let you specify tasks that Burp will perform automatically at defined times or intervals.	定義した時間または間隔で、Burpが自動的に実行するタスクを設定します。
These settings specify the timeouts to be used for various network tasks. Values are in seconds. Set an option to zero or leave it blank to never timeout that task.	さまざまなネットワークタスクに使用するタイムアウトを指定します。値の単位は秒です。タスクをタイムアウトさせない場合は０または空白にしてください。
This action checks whether the session is valid, by either issuing the current request or running a predefined macro \\(sequence of requests\\), and inspecting the response. If the session is invalid, you can optionally perform a further action to obtain a new valid session.	このアクションは、現在のリクエストか定義したマクロ(リクエストのシーケンス)を実行しレスポンスを調べることで、セッションが有効かどうかチェックします。セッションが無効な場合、必要に応じて、新しい有効なセッションを取得する詳細なアクションを実行できます。
This action invokes a Burp Extension to process the current request.	このアクションは、Burp拡張を起動して現在のリクエストを処理します。
This action issues the current request and then runs a further macro \\(sequence of requests\\). No further rules or actions will be applied after this action.	このアクションは、現在のリクエストを発行し、その後さらにマクロ(リクエストのシーケンス)を実行します。このアクション後に、さらにルールやアクションは適用されません。
This action prompts you to recover a valid session using your browser \\(configured to connect via Burp Proxy\\). The cookies set by the application will be added to the session handling cookie jar, and can also be set in the current request.	このアクションは、(Burp Proxy経由で接続するよう設定された)ブラウザを使用して有効なセッションを復元するプロンプトを開きます。アプリケーションがセットしたcookieや、現在のリクエストにセットされたcookieも、セッションハンドリングcookie jarに追加され、
This action runs a predefined macro \\(sequence of requests\\) and optionally updates parameters and cookies in the current request based on the result of the macro.	このアクションは定義済みマクロ(リクエストのシーケンス)を実行し、マクロの結果に基づいて現在のリクエストのパラメーターとcookieを必要に応じて更新します。
This action sets a specific value in a named request parameter or cookie.	このアクションは、指定した名前のリクエストパラメータやcookieに、指定した値をセットします。
This action updates the request with the relevant cookies from the session handling cookie jar.	このアクションは、セッションハンドリングcookie jarの関連するcookieでリクエストを更新します。
This feature can be used to prevent Burp from issuing any out-of-scope requests, including those made via the proxy.	Proxy経由で発生するもの含め、スコープ外のリクエストによって発生する問題を防ぎます。
This function allows you to load Sequencer with a sample of tokens that you have already obtained, and then perform the statistical analysis on the sample.	この機能では、既に取得しているトークンのサンプルをSequencerに読み込ませ、サンプルの統計解析を実行できます。
This function lets you do a word- or byte-level comparison between different data. You can load, paste, or send data here from other tools and then select the comparison you want to perform.	異なるデータ間の、単語もしくはバイトレベルの比較を行います。データを読み込み、貼り付け、他のツールからここに送信し、実行したい比較を選択してください。
This function sends common test payloads to random URLs and parameters at irregular intervals, to generate traffic similar to that caused by manual penetration testing. Its only real use is to let you take a break from testing while still looking busy according to the server's logs. Only items which you selected in the site map will be requested.	この機能は、一般的なテストペイロードを不規則な間隔でランダムなURLやパラメータに送信し、手動ペネトレーションテストで発生するようなトラフィックを生成します。この機能の唯一現実的な使用方法は、一生懸命テストをしているようなログをサーバに残しながら休憩を取ることです。サイトマップで選択したアイテムのみリクエストが送信されます。
This listing contains the definitions of all issues that can be detected by Burp Scanner.	Burp Scannerが検出できる全問題の定義一覧です。
This panel shows a list of the unique SSL certificates received from web servers. Double-click an item to show the full details of the certificate.	このパネルにはWebサーバから受信した一意なSSL証明書が表示されます。証明書の詳細を見るにはアイテムをダブルクリックしてください。
This payload type can be used to generate illegal Unicode representations of characters. It is sometimes effective in bypassing filters designed to block certain characters. See the full help for details of each option.	文字の不正なUnicode表現を生成します。特定の文字をブロックするよう設計されたフィルタの回避に効果がある場合があります。各オプションの詳細はヘルプを参照してください。
This payload type can be used to shuffle blocks of ciphertext in ECB-encrypted data, so as to meaningfully modify the decrypted cleartext and potentially interfere with application logic. You can optionally supply a list of encrypted strings that use the same cipher and key, to provide additional blocks for shuffling into the original data.	ECB暗号化データの暗号文をシャッフルするペイロードで、復号さた平文で意味のある変更やアプリケーションロジックの潜在的な妨害に使用できます。必要に応じて、同じ暗号およびキーを使用して暗号化された文字列のリストを指定し、元データにシャッフルの追加ブロックとして使用できます。
This payload type copies the value of the current payload at another payload position. It can be used with attack types that have multiple payload sets.	他のペイロードポジションの値をこのペイロードにコピーします。複数のペイロードセットを使用する攻撃タイプで使用できます。
This payload type generates date payloads within a given range and in a specified format.	指定された範囲内の日付ペイロードを指定された形式で生成します。
This payload type generates numeric payloads within a given range and in a specified format.	指定された範囲の指定されたフォーマットで数値のペイロードを生成します。
This payload type generates payloads based on blocks of a specified character or string. It can be useful for detecting buffer overflows and exploiting some logic flaws.	指定した文字や文字列のブロックを元にペイロードを生成します。バッファオーバフローの検知やロジックフローの攻撃に有用です。
This payload type generates payloads of specified lengths that contain all permutations of a specified character set.	指定した文字セット・長さから、全ての組み合わせのペイロードを生成します。
This payload type generates payloads whose value is an empty string. With no payload markers configured, this can be used to repeatedly issue the base request unmodified.	空文字列のペイロードを生成します。ペイロードマーカの設定は不要で、ベースリクエストを変更せず繰り返し送信できます。
This payload type invokes a Burp extension to generate payloads.	ペイロードの作成にBurp拡張を実行します。
This payload type lets you configure a file from which to read payload strings at runtime.	実行時にペイロード文字列を読み込むファイルを設定します。
This payload type lets you configure a list of names or email addresses, and derives potential usernames from these using various common schemes. You can enter items as "firstname lastname" or "firstname.lastname@example.org".	名前やメールアドレスのリストを設定し、様々な一般的な生成規則で潜在的なユーザ名を生成します。"名 姓" または "名.姓@example.org" でアイテムを入力できます。
This payload type lets you configure a list of strings and apply various case modifications to each item.	文字列のリストを設定し、各アイテムに様々な大文字小文字変換を適用します。
This payload type lets you configure a list of strings and apply various character substitutions to each item.	文字列のリストを設定し、各アイテムに様々な文字置換を適用します。
This payload type lets you configure a simple list of strings that are used as payloads.	ペイロードに使用する文字列の単純なリストを設定します。
This payload type lets you configure multiple lists of items, and generate payloads using all permutations of items in the lists.	複数のアイテムリストを設定し、リスト内の項目全ての組み合わせのペイロードを生成します。
This payload type lets you extract each payload from the response to the previous request in the attack. It is useful in some situations where you need to work recursively to extract useful data or deliver an exploit. Extract grep items can be defined in the Options tab.	前の攻撃リクエストに対するレスポンスから、ペイロードを抽出します。有用なデータの抽出や攻撃データの送信を再帰的に行いたい場合に有用です。抽出grep項目は、"オプション"タブで定義できます。
This payload type operates on a string input and modifies the value of each character position in turn. It is useful to quickly test which parts of a long string have an effect on the application's processing.	入力文字列を操作し、各位置の文字を順番に変更します。長い文字列のどの部分がアプリケーションの処理に影響を与えるをすばやくテストするために便利です。
This payload type operates on an input and modifies the value of each bit position in turn. It can sometimes be used to meaningfully modify the decrypted values of CBC-encrypted data, and potentially interfere with application logic.	入力文字列を操作し、各位置のビットを順番に変更します。CBC暗号化されたデータに意味のある変更を行う場合や、アプリケーションロジックの潜在的な妨害に使用できる場合があります。
This project file was created by a different installation of Burp. You need to decide whether to take full ownership of the project.	このプロジェクトファイルは他のBurpで作成されました。プロジェクトの完全な所有権を選択するか決定する必要があります。
This setting can be used to URL-encode selected characters within the final payload, for safe transmission within HTTP requests.	HTTPリクエストを安全に送信するために、最終的なペイロードの指定した文字をURLエンコードする設定です。
This setting controls how Burp handles extensions on startup.	Burp起動時の拡張の処理方法を制御します。
This setting controls the state of proxy interception at startup.	起動時のプロキシインターセプト状態の設定です。
This URL is outside the current target scope. Are you sure you want to schedule an active scan\\?	このURLは現在の対象スコープ外です。アクティブスキャンをスケジュールしてよろしいですか？
This will clear all existing custom iterator settings	既存の全てのカスタムイテレータをクリアします
This will close all Burp windows - are you sure you want to exit\\?	Burpの全てのウィンドウを閉じます - 終了してよろしいですか？
Throttle \\(milliseconds\\):	ウェイト(ミリ秒):
Throttle between requests \\(milliseconds\\):	リクエスト間のウェイト(ミリ秒):
Time requested	リクエスト時刻
Time	時刻
Time-delay checks	遅延チェック
Timeouts	タイムアウト
Title	タイトル
To load this file, create a new Burp project, and then restore the state file in the normal way, via the Burp menu.	このファイルを読み込むには、新規Burpプロジェクトを作成し、Burpメニューから通常通りステートファイルをリストアしてください。
To lower case	小文字に変換
To monitor or troubleshoot the behavior of your session handling rules, you can use the sessions tracer to view in detail the results of processing each rule.	セッションハンドリングルールの動作の監視やトラブルシュートを行うには、セッショントレーサーを使用して各ルールの処理結果の詳細が表示できます。
To Propername	先頭のみ大文字でその他は小文字
To ProperName	先頭のみ大文字でその他は変更なし
To run Python extensions, you must download the Jython standalone JAR, and configure its location in Burp Extender options.	Python拡張を実行するには、JythonスタンドアローンJARファイルをダウンロードし、Burp Extenderオプションで場所を設定する必要があります。
To run Ruby extensions, you must download the JRuby JAR file, and either configure its location in Burp Extender options, or load it on startup via the Java classpath.	Ruby拡張を実行するには、JRubyのJARファイルをダウンロードし、Burp Extenderオプションで場所を設定するか、Javaクラスパスに経由で起動時に読み込む必要があります。
To take effect, you will need to restart Burp, and then install the new certificate in your browser.	有効にするには、Burpを再起動し、ブラウザに新しい証明書をインストールする必要があります。
To this host	このホスト宛
To this IP address	このIPアドレス宛
To upper case	大文字に変換
To use Python extensions, you need to download Jython, and configure its location in Burp Extender options.	Python拡張を使うには、Jythonをダウンロードし、Burp Extenderのオプションで場所を設定してください。
To use Ruby extensions, you need to download JRuby, and configure its location in Burp Extender options.	Ruby拡張を使うには、JRubyをダウンロードし、Burp Extenderのオプションで場所を設定してください。
Toggle message interception	メッセージのインターセプトを反転
Token Analysis	トークン解析
Token Handling	トークンハンドリング
Token Location Within Response	レスポンス中のトークンの場所
Tokens loaded:	読み込んだトークン
Tolerate URL mismatch when matching parameters \\(use for URL-agnostic CRSF tokens\\)	パラメータマッチ時にURLの不一致を許容する(URLに依存しないCSRFトークンに使用)
Tool	ツール
Tools	ツール
Top/bottom split	上下分割
Total encodings	総エンコード数
Transitions	変化
Type a search term	検索語を入力
Type index	タイプインデックス
Type(:?)	タイプ$1
Typical severity	一般的な危険度
Uncheck all	全て解除
Understand 100 Continue responses	100 Continueレスポンスを認識する
Unencrypted communications	暗号化されていない通信
Unencrypted communications( \\[[0-9]+\\])?	暗号化されていない通信$1
Unhide hidden form fields	Hiddenフォームフィールドを再表示
unknown	不明
Unpack gzip / deflate in requests	リクエストのgzip/deflateを展開する
Unpack gzip / deflate in responses	レスポンスのgzip/deflateを展開する
Unpack gzip / deflate	gzip/deflateを展開する
Up	上へ
Update all cookies except for:	これ以外全てのcookieを更新する:
Update all parameters except for:	これ以外全てのパラメータを更新する:
Update Content-Length header	Content-Lengthヘッダを更新
Update Content-Length	Content-Lengthを更新
Update current request with cookies from session handling cookie jar	セッションハンドリングcookie jarのcookieでリクエストを更新する
Update current request with parameters matched from final macro response	マクロの最後のレスポンスのマッチしたパラメータでリクエストを更新する
Update current	現状を更新
Update license key	ライセンスキー更新
Update now	更新開始
Update only the following cookies:	このcookieのみ更新する:
Update only the following parameters:	このパラメータのみ更新する:
Update the first macro request with parameters matched from the response to the current request	最初のマクロリクエストのマッチしたパラメータを、現在のリクエストのレスポンスで更新する
Upstream Proxy Servers	上位プロキシサーバ
URL parameter values	URLのパラメータ値
URL parameter	URLパラメータ
URL path filename	URLパスのファイル名
URL path folders	URLパスのフォルダ
URL Scope	URLスコープ
URL to body	URLからボディ
URL to cookie	URLからcookie
URL-decode	URLデコード
URL-encode all characters \\(Unicode\\)	全ての文字をURLエンコード(Unicode)
URL-encode all characters	全ての文字をURLエンコード
URL-encode as you type	入力をURLエンコード
URL-encode key characters	特殊文字をURLエンコード
URL-encode these characters:	これらの文字をURLエンコードする:
Use a custom certificate (PKCS#12):	カスタム証明書を使用する(PKCS#12):
Use a private Collaborator server:	プライベートCollaboratorサーバを使用する:
Use a self-signed certificate	自己署名の証明書を使用する
Use a specific character set:	指定した文字セットを使用する:
Use built-in lists	組み込みリストを使用する
Use Burp defaults	Burpのデフォルトを使用する
Use cookies from Burp's cookie jar	Burpのcookie jarのcookieを使用する
Use cookies from the session handling cookie jar	セッションハンドリングcookie jarのcookieを使用する
Use custom location:	指定した場所を使用:
Use custom protocols and ciphers	カスタムプロトコルと暗号を使用
Use custom scope	カスタムスコープを使用
Use default attack configuration	デフォルトの攻撃設定を使用する
Use default system temp directory	システムのデフォルト一時ディレクトリを使用
Use denial-of-service mode \\(no results\\)	サービス拒否モードを使用する(結果なし)
Use font smoothing	フォントスムージングを使用する
Use HTTP version 1.1	HTTPバージョン1.1を使用する
Use HTTP/1.0 in requests to server	サーバへのリクエストにHTTP/1.0を使用する
Use HTTP/1.0 in responses to client	クライアントへのレスポンスにHTTP/1.0を使用する
Use HTTPS	HTTPSを使用する
Use intelligent attack selection	賢い攻撃の選択を使用する
Use lower case alpha characters	英小文字使用
Use nested insertion points	ネストした挿入ポイントを使用する
Use options saved with project	プロジェクトに保存されたオプションを使う
Use Referer header	Refererヘッダを使用する
Use SOCKS proxy	SOCKSプロキシを使用する
Use suite scope \\[defined in Target tab\\]	全体のスコープを使用[Targetタブで定義]
Use the configuration below to control which URLs this rule applies to.	ルールを適用するURLを設定します。
Use the default Collaborator server	デフォルトのCollaboratorサーバを使用
Use the default protocols and ciphers of your Java installation	Javaインストールのデフォルトプロトコルと暗号を使用
Use the platform default \\((.*)\\)	プラットフォームのデフォルト($1)を使用
Use the platform default	プラットフォームのデフォルトを使用
Use these settings to control which requests are stalled for viewing and editing in the Intercept tab.	インターセプトタブで表示や編集のために止めるリクエストを制御します。
Use these settings to control which responses are stalled for viewing and editing in the Intercept tab.	インターセプトタブで表示や編集のために止めるレスポンスを制御します。
Use these settings to control which WebSockets messages are stalled for viewing and editing in the Intercept tab.	インターセプトタブで表示や編集のために止めるWebSocketメッセージを制御します。
Use these settings to monitor and control Burp Spider. To begin spidering, browse to the target application, then right-click one or more nodes in the target site map, and choose "Spider this host / branch".	Burp Spiderの監視と制御を行います。巡回を開始するには、対象アプリケーションをブラウズし、対象の一つまたは複数をサイトマップで右クリックし、"このホスト/ブランチをSpider実行"を選択してください。
Use these settings to monitor and control the discovery session.	探索セッションの監視と制御を行います。
User Interface	ユーザインタフェース
User options	ユーザオプション
Username generator	ユーザ名ジェネレータ
Username(:?)	ユーザ名$1
Using Burp Suite	Burp Suiteの使い方
Valid session	セッション有効
Validate session only every	セッションを
Value(:?)	値$1
Variable:  start	変動:  初期
Version:	バージョン:
View release notes	リリースノートを表示する
View	表示
Warning	注意
WebSocket hijacking \\(DOM-based\\)	WebSocketハイジャック(DOMベース)
WebSockets history	WebSocket履歴
Welcome ...	ようこそ ...
Welcome to Burp Suite Free Edition. Use the options below to create or open a project.	Burp Suiteフリー版へようこそ。次のオプションでプロジェクトを作成するか開くか選択してください。
Welcome to Burp Suite Professional. Use the options below to create or open a project.	Burp Suiteプロフェッショナル版へようこそ。次のオプションでプロジェクトを作成するか開くか選択してください。
When following redirections, understand the following types:	リンクをたどる場合、次のタイプを認識します:
Windows installer \\((32|64)-bit\\)	Windowsインストーラ ($1ビット)
Windows	ウィンドウ
With payload positions	ペイロードポジションを含む
Without payload positions	ペイロードポジションを含まない
Words	単語
XML / SOAP injection	XML/SOAPインジェクション
XML external entity injection	XML外部エンティティインジェクション
XML injection	XMLインジェクション
XPath injection	XPathインジェクション
Yes	はい
You can define one or more payload sets. The number of payload sets depends on the attack type defined in the Positions tab. Various payload types are available for each payload set, and each payload type can be customized in different ways.	1つまたは複数のペイロードセットを定義できます。ペイロードセットの数は、"ポジション"タブで定義された攻撃型に依存します。ペイロードセットごとに様々なペイロードタイプが使用可能で、各ペイロードタイプは様々な方法でカスタマイズできます。
You can define rules to perform various processing tasks on each payload before it is used.	ペイロードが使われる前に各ペイロードのに様々な処理タスクを実行するルールを定義できます。
You can define session handling rules to make Burp perform specific actions when making HTTP requests. Each rule has a defined scope \\(for particular tools, URLs or parameters\\), and can perform actions such as adding session cookies, logging in to the application, or checking session validity. Before each request is issued, Burp applies in sequence each of the rules that are in-scope for the request.	HTTPリクエストを生成するときに指定したアクションを実行させるセッションハンドリングルールを定義します。各ルールには、スコープ(特定のツール、URL、パラメータ)、セッションcookieを追加するなどアクションの実行、アプリケーションへのログインやセッションの有効性のチェックなどを定義します。各リクエストを発行する前に、スコープ内のリクエストに対して各ルールを順番に適用します。
You can export your certificate and key for use in other tools, or in another installation of Burp. You can import a certificate and key to use in this installation of Burp. Note that you can also export the current certificate by visiting http://burp/cert in your browser.	他のツールや他のBurpインスタンス用に、この証明書をエクスポートができます。このBurpで使う証明書と秘密鍵をインポートできます。ブラウザで http://burp/cert にアクセスして現在の証明書をエクスポートできることもを覚えておいてください。
You can help improve Burp by submitting anonymous feedback about Burp's performance.	Burpのパフォーマンスに関して匿名のフィードバックを送信することで、Burpを向上できます。
You can restrict the rule to requests containing specific parameters if required.	必要であれば、指定したパラメータを含むリクエストにルールを制限できます。
You can use the Burp Extender APIs to create your own extensions to customize Burp's behavior.	Burp ExtenderのAPIを使用して、Burpの機能をカスタマイズする自分自身の拡張を作れます。
You must load at least 100 tokens	最低100トークンを読み込む必要があります
You should be aware that if any testing is continued using multiple instances of Burp, then some Collaborator-based issues may be missed or incorrectly reported.	複数インスタンスのBurpが使われ続けている場合、Collaboratorベースの一部の問題を見逃す、または誤って報告されることに留意してください。
Your license has expired. Please obtain a new license key to continue.	ライセンスの有効期限が切れています。続行するには新しいライセンス キーを入手してください。
Your license is successfully installed and activated.	ライセンスは正常にインストールとアクティベートされました。
Your temporary directory contains the following folders which appear to have been previously generated by Burp. Would you like to delete these\\?	Burpが以前作成したと思われるファイルが一時ディレクトリに残っています。削除しますか？
Save state wizard	ステート保存ウィザード
Restore state wizard	ステート復元ウィザード
